tag,score
nevertrump,-1
thingstrumpwillneverhave,-1
dumptrump,-1
stoptrump,-1
nevertrumporhillary,-1
votetrump,1
childrapetrump,-1
nevertrumppence,-1
alwaystrump,1
realdonaldtrump,-1
bikers4trump,1
fucktrump,-1
women4trump,1
latinos4trump,1
womenfortrump,1
notrump,-1
trumpforpresident,1
blacks4trump,1
bikersfortrump,1
votetrump2016,1
lgbt4trump,1
hindus4trump,1
united4trump,1
muslims4trump,1
fuckdonaldtrump,-1
latinosfortrump,1
presidenttrump,1
millennialsfortrump,1
trumptaxesnow,-1
veteransfortrump,1
crookedtrump,-1
anyonebuttrump,-1
nevertrumporclinton,-1
neverhillaryortrump,-1
lyingtrump,-1
gaysfortrump,1
trumpsucks,-1
antitrump,-1
onlytrump,1
dumpthetrump,-1
gotrump,1
trumptroll,1
fucktrump2016,-1
neverhillarynevertrump,-1
trumptrash,-1
navyvets4trump,1
wewanttrump,1
trumpisarapist,-1
trumpfail,-1
neverevertrump,-1
nottrump,-1
lyingtrumps,-1
votetrumpforpresident,1
trump4president,1
bullytrump,-1
vets4trump,1
racisttrump,-1
nevertrumpever,-1
lyintrump,-1
imwithtrump,1
feelthetrump,1
nevertrumpneverhillary,-1
