date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_16,0.134735,-0.144167,27,8.04132,122,8.06607,0.0167835,8.067,8.092,8.033,7.62048,122,7.61526,0.0162092,7.615,7.646,7.579
2016_07_17,0.250924,-0.1395,70,8.11143,192,8.11313,0.0438528,8.1295,8.164,8.016,7.59503,192,7.67184,0.059931,7.673,7.774,7.575
2016_07_18,0.238854,-0.177801,32,8.10646,224,8.10784,0.00632001,8.107,8.124,8.097,7.61167,224,7.62934,0.0117792,7.6295,7.648,7.602
2016_07_19,0.155813,-0.113338,73,8.09948,297,8.10458,0.00636378,8.104,8.12,8.091,7.45452,297,7.55041,0.0532488,7.561,7.623,7.455
2016_07_20,0.143397,-0.231126,56,8.09483,353,8.09125,0.00561249,8.092,8.102,8.08,7.38096,353,7.41059,0.0232401,7.4115,7.451,7.381
2016_07_22,0.168415,-0.118655,49,8.10602,411,8.10471,0.00802859,8.103,8.121,8.091,7.28463,411,7.31329,0.023405,7.309,7.363,7.283
2016_07_23,0.0962526,-0.486568,63,8.05289,474,8.08143,0.0174557,8.079,8.112,8.053,7.22066,474,7.25086,0.0198729,7.249,7.289,7.221
2016_07_24,0.0789196,-0.599678,186,7.90759,660,7.96485,0.039281,7.96,8.053,7.906,7.07668,660,7.14262,0.0422768,7.148,7.227,7.077
2016_07_25,0.0528025,-0.597697,182,7.83499,842,7.86257,0.0176852,7.861,7.908,7.833,6.98574,842,7.02805,0.0224696,7.0245,7.075,6.983
2016_07_26,0.0583478,-0.374413,143,7.79933,985,7.81934,0.0113267,7.823,7.835,7.799,6.89919,985,6.93337,0.0275701,6.931,6.985,6.898
2016_07_27,0.0223874,-0.187166,151,7.76914,1136,7.77166,0.0108627,7.769,7.799,7.759,6.83926,1136,6.86727,0.0183938,6.865,6.901,6.839
2016_07_28,0.0123462,-0.148726,46,7.74783,1182,7.75913,0.006817,7.7595,7.77,7.747,6.82442,1182,6.83361,0.00338282,6.835,6.839,6.824
2016_07_29,0.0123462,0.00232921,130,7.73865,1312,7.73583,0.00340118,7.736,7.747,7.729,6.7979,1312,6.80995,0.00570171,6.81,6.824,6.798
2016_07_30,0.0295857,-0.15206,110,7.72469,1422,7.73412,0.00588379,7.7365,7.741,7.723,6.76407,1422,6.77772,0.00966611,6.7775,6.798,6.762
2016_07_31,0.0531794,-0.260904,57,7.71844,1479,7.72467,0.00464963,7.727,7.73,7.715,6.75407,1479,6.76065,0.00404656,6.762,6.768,6.753
2016_08_01,0.0692247,-0.367101,101,7.7303,1580,7.72148,0.00434648,7.721,7.731,7.716,6.72522,1580,6.7422,0.00798877,6.743,6.754,6.725
2016_08_02,0.0744534,-0.367101,111,7.74033,1691,7.7425,0.00647074,7.742,7.755,7.731,6.70566,1691,6.715,0.00915225,6.715,6.728,6.703
2016_08_03,0.107211,-0.383573,21,7.74178,1712,7.74176,0.00113599,7.742,7.744,7.74,6.70473,1712,6.70476,0.00126114,6.705,6.707,6.702
2016_10_15,0.142175,-0.211887,182,7.73154,1894,7.73735,0.00384183,7.737,7.745,7.731,6.69286,1894,6.69633,0.00584903,6.694,6.708,6.688
2016_10_16,0.203163,-0.164134,54,7.72959,1948,7.7288,0.00157072,7.729,7.732,7.725,6.69103,1948,6.69294,0.00174201,6.693,6.696,6.689
2016_10_17,0.266606,-0.0976466,107,7.72845,2055,7.72883,0.0013352,7.729,7.732,7.726,6.68083,2055,6.68421,0.00306144,6.684,6.691,6.679
2016_10_18,0.236068,-0.107873,145,7.71485,2200,7.72077,0.00399261,7.72,7.73,7.715,6.65929,2200,6.67341,0.0071458,6.676,6.683,6.659
2016_10_19,0.201788,-0.147725,288,7.76887,2488,7.74138,0.0174587,7.7415,7.77,7.715,6.58119,2488,6.62219,0.023952,6.625,6.66,6.58
2016_10_20,0.140258,-0.125569,355,7.80881,2843,7.79194,0.0126908,7.799,7.809,7.769,6.50881,2843,6.53838,0.02148,6.536,6.581,6.509
2016_10_21,0.210065,-0.202736,97,7.80275,2940,7.80632,0.00174133,7.806,7.81,7.803,6.49614,2940,6.50165,0.00455302,6.501,6.509,6.494
2016_10_22,0.24444,-0.163693,151,7.80391,3091,7.79952,0.00296161,7.799,7.805,7.795,6.48844,3091,6.49759,0.00391965,6.499,6.502,6.488
2016_10_31,0.136349,-0.178083,187,7.81626,3278,7.80886,0.00582652,7.812,7.817,7.799,6.50984,3278,6.49883,0.00530192,6.499,6.51,6.488
2016_11_01,0.130203,-0.12762,331,7.83549,3609,7.82009,0.00845187,7.818,7.835,7.809,6.50039,3609,6.50942,0.00643726,6.51,6.52,6.499
2016_11_02,0.125105,-0.152291,313,7.85453,3922,7.8458,0.00873538,7.845,7.86,7.834,6.47306,3922,6.48205,0.00923033,6.482,6.501,6.47
2016_11_03,0.122911,-0.130612,189,7.84799,4111,7.85146,0.00168054,7.851,7.855,7.848,6.4739,4111,6.47299,0.00103911,6.473,6.475,6.47
