date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_18,-0.287269,0.104309,69,6.52061,132,5.96143,0.355366,5.87,6.537,5.516,6.83013,132,6.34142,0.296705,6.229,6.848,6.011
2016_07_19,0.0469652,-0.172429,23,6.64396,155,6.59913,0.0500648,6.625,6.656,6.513,6.81576,155,6.81352,0.00837675,6.815,6.827,6.794
2016_07_20,0.0765241,-0.29629,27,6.62275,182,6.63985,0.0168676,6.641,6.665,6.61,6.73276,182,6.76004,0.0259681,6.755,6.81,6.72
2016_07_22,-0.00432272,-0.239714,92,6.69374,304,6.7228,0.0231114,6.7175,6.779,6.686,6.81779,304,6.87136,0.037025,6.876,6.923,6.815
2016_07_23,0.0432933,-0.302882,199,6.67471,503,6.74738,0.0437489,6.753,6.826,6.668,6.88591,503,6.91626,0.0355028,6.925,6.976,6.818
2016_07_24,0.0328727,-0.624238,680,6.33073,1183,6.4667,0.0966018,6.4265,6.673,6.33,6.56304,1183,6.66574,0.091158,6.618,6.884,6.562
2016_07_25,0.0328727,-0.562339,13290,5.4836,14473,6.09943,0.183971,6.159,6.33,5.784,5.63138,14473,6.38337,0.157579,6.435,6.588,6.113
2016_07_26,0.0328727,-0.376386,9614,5.40702,24087,5.46823,0.0115897,5.472,5.484,5.446,5.53073,24087,5.60226,0.0192093,5.603,5.632,5.571
2016_07_27,0.0328727,-0.0575149,10664,5.34906,34751,5.37927,0.0136632,5.378,5.407,5.362,5.44514,34751,5.51018,0.00844708,5.507,5.531,5.503
2016_07_28,0.00966529,-0.205395,8143,5.3006,42894,5.34314,0.0155693,5.349,5.35,5.3,5.36301,42894,5.43215,0.0255779,5.441,5.445,5.363
2016_07_29,0.00966529,0.26754,5625,5.29781,48519,5.29587,0.00278931,5.296,5.301,5.291,5.40868,48519,5.39022,0.0191163,5.402,5.409,5.363
2016_07_30,0.0202346,-0.260522,311,5.30036,48830,5.29933,0.0010933,5.299,5.301,5.298,5.41007,48830,5.4096,0.000489745,5.41,5.41,5.409
2016_07_31,0.0764858,-0.19865,61,5.30157,48891,5.30107,0.000478499,5.301,5.302,5.3,5.41115,48891,5.41082,0.000387651,5.411,5.411,5.41
2016_08_01,0.0366511,-0.457101,81,5.30224,48972,5.3019,0.000300206,5.302,5.302,5.301,5.41151,48972,5.41102,0.00015615,5.411,5.412,5.411
2016_08_02,0.0485914,-0.409054,49,5.30265,49021,5.30257,0.0005,5.303,5.303,5.302,5.41205,49021,5.412,0.0,5.412,5.412,5.412
