date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_13,0.356344,-0.176196,135,10.0,135,10.0,0.0,10.0,10.0,10.0,3.92743,135,3.48882,0.732805,3.52,9.0,2.333
2016_07_15,0.104857,-0.393258,426,10.0,561,10.0,0.0,10.0,10.0,10.0,5.64887,561,5.22324,0.718984,5.609,5.807,3.411
2016_07_16,0.128154,-0.104349,215,10.0,776,10.0,0.0,10.0,10.0,10.0,5.08452,776,5.31747,0.19212,5.268,5.649,5.079
2016_07_17,0.0986788,-0.46884,313,10.0,1089,10.0,0.0,10.0,10.0,10.0,5.35692,1089,5.36004,0.143332,5.406,5.533,5.079
2016_07_18,0.11004,-0.092155,164,10.0,1253,10.0,0.0,10.0,10.0,10.0,5.16037,1253,5.2528,0.0478744,5.2565,5.36,5.16
2016_07_19,0.11004,-0.0746052,617,10.0,1870,10.0,0.0,10.0,10.0,10.0,4.45538,1870,4.74795,0.196933,4.721,5.155,4.455
2016_07_20,0.0903886,-0.134162,309,10.0,2179,10.0,0.0,10.0,10.0,10.0,4.24908,2179,4.34389,0.062612,4.346,4.455,4.249
2016_07_22,0.09803,-0.0987049,289,10.0,2623,10.0,0.0,10.0,10.0,10.0,4.07747,2623,4.14485,0.0386587,4.145,4.22,4.075
2016_07_23,0.381666,-0.352334,177,10.0,2800,10.0,0.0,10.0,10.0,10.0,4.11198,2800,4.08194,0.0160295,4.075,4.118,4.061
2016_07_24,0.445642,-0.393827,267,10.0,3067,10.0,0.0,10.0,10.0,10.0,4.22715,3067,4.15707,0.0297278,4.15,4.231,4.11
2016_07_25,0.108763,-0.767497,619,10.0,3686,10.0,0.0,10.0,10.0,10.0,4.67276,3686,4.49511,0.129441,4.526,4.673,4.221
2016_07_26,0.278162,-0.415291,290,10.0,3976,10.0,0.0,10.0,10.0,10.0,4.73489,3976,4.68855,0.0267438,4.681,4.737,4.65
2016_07_27,0.0834262,-0.445054,664,10.0,4640,10.0,0.0,10.0,10.0,10.0,4.8554,4640,4.80707,0.0361547,4.816,4.857,4.731
2016_07_28,0.0362716,-0.464279,232,10.0,4872,10.0,0.0,10.0,10.0,10.0,4.90636,4872,4.87667,0.0204397,4.874,4.915,4.852
2016_07_29,0.0555428,-0.291867,456,10.0,5328,10.0,0.0,10.0,10.0,10.0,4.96029,5328,4.96102,0.0232274,4.967,4.995,4.907
2016_07_30,0.286333,-0.29968,374,10.0,5702,10.0,0.0,10.0,10.0,10.0,4.9622,5702,4.95165,0.00923313,4.953,4.972,4.932
2016_07_31,0.0573239,-0.446221,207,10.0,5909,10.0,0.0,10.0,10.0,10.0,4.92754,5909,4.95052,0.00788376,4.952,4.963,4.928
2016_08_01,0.0573239,-0.530065,465,10.0,6374,10.0,0.0,10.0,10.0,10.0,4.86856,6374,4.90339,0.0171072,4.905,4.938,4.868
2016_08_02,0.109214,-0.644342,507,10.0,6881,10.0,0.0,10.0,10.0,10.0,4.89139,6881,4.86598,0.0205896,4.861,4.905,4.83
2016_08_03,0.0184119,-0.283705,72,10.0,6953,10.0,0.0,10.0,10.0,10.0,4.85586,6953,4.87535,0.01023,4.875,4.892,4.856
2016_10_15,0.144137,-0.127798,278,10.0,7231,10.0,0.0,10.0,10.0,10.0,4.78073,7231,4.81521,0.0225433,4.812,4.857,4.781
2016_10_16,0.191075,-0.127798,127,10.0,7358,10.0,0.0,10.0,10.0,10.0,4.7816,7358,4.77925,0.00237369,4.78,4.783,4.774
2016_10_17,0.212948,-0.118884,245,10.0,7603,10.0,0.0,10.0,10.0,10.0,4.74884,7603,4.76289,0.0100851,4.759,4.784,4.748
2016_10_18,0.189054,-0.104395,198,10.0,7801,10.0,0.0,10.0,10.0,10.0,4.71439,7801,4.73134,0.00855043,4.731,4.748,4.714
2016_10_19,0.164035,-0.158304,452,10.0,8253,10.0,0.0,10.0,10.0,10.0,4.71555,8253,4.71021,0.00324391,4.71,4.719,4.704
2016_10_20,0.12509,-0.120947,658,10.0,8911,10.0,0.0,10.0,10.0,10.0,4.67917,8911,4.70022,0.0113178,4.698,4.717,4.679
2016_10_21,0.169568,-0.128972,164,10.0,9075,10.0,0.0,10.0,10.0,10.0,4.67533,9075,4.68046,0.00247776,4.68,4.686,4.675
2016_10_22,0.195566,-0.0847482,309,10.0,9384,10.0,0.0,10.0,10.0,10.0,4.66377,9384,4.67049,0.00295595,4.67,4.676,4.664
2016_10_31,0.0844744,-0.102916,187,10.0,9571,10.0,0.0,10.0,10.0,10.0,4.6462,9571,4.65536,0.00703409,4.656,4.666,4.646
2016_11_01,0.135104,-0.0933201,258,10.0,9829,10.0,0.0,10.0,10.0,10.0,4.63878,9829,4.63944,0.00384304,4.64,4.648,4.632
2016_11_02,0.108352,-0.104179,264,10.0,10093,10.0,0.0,10.0,10.0,10.0,4.63926,10093,4.63701,0.00242215,4.638,4.641,4.632
2016_11_03,0.220397,-0.12125,176,10.0,10269,10.0,0.0,10.0,10.0,10.0,4.6326,10269,4.63849,0.00373093,4.64,4.644,4.631
2016_11_04,0.0539902,-0.115185,13,10.0,10282,10.0,0.0,10.0,10.0,10.0,4.63287,10282,4.633,0.0,4.633,4.633,4.633
