date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_13,0.389555,-0.276584,162,5.23324,162,5.10928,0.788191,5.009,9.0,4.2,10.0,162,10.0,0.0,10.0,10.0,10.0
2016_07_15,0.200389,-0.206523,239,5.21542,401,5.27225,0.0787207,5.246,5.423,5.104,10.0,401,10.0,0.0,10.0,10.0,10.0
2016_07_16,0.18399,-0.180494,195,5.30932,596,5.26947,0.0446678,5.274,5.358,5.186,10.0,596,10.0,0.0,10.0,10.0,10.0
2016_07_17,0.24933,-0.132668,183,5.23062,779,5.2325,0.0377138,5.229,5.317,5.164,10.0,779,10.0,0.0,10.0,10.0,10.0
2016_07_18,0.178813,-0.132668,155,5.34706,934,5.29045,0.0462957,5.31,5.351,5.207,10.0,934,10.0,0.0,10.0,10.0,10.0
2016_07_19,0.114074,-0.132668,333,5.41009,1267,5.36532,0.0375123,5.369,5.423,5.308,10.0,1267,10.0,0.0,10.0,10.0,10.0
2016_07_20,0.114074,-0.217971,260,5.41842,1527,5.4094,0.0140501,5.411,5.435,5.374,10.0,1527,10.0,0.0,10.0,10.0,10.0
2016_07_22,0.172475,-0.163937,215,5.37725,1839,5.44194,0.0397049,5.464,5.498,5.377,10.0,1839,10.0,0.0,10.0,10.0,10.0
2016_07_23,0.0970333,-0.489933,237,5.3654,2076,5.38314,0.0137936,5.386,5.405,5.354,10.0,2076,10.0,0.0,10.0,10.0,10.0
2016_07_24,0.0789424,-0.626701,464,5.28952,2540,5.31409,0.0232482,5.305,5.369,5.285,10.0,2540,10.0,0.0,10.0,10.0,10.0
2016_07_25,0.036924,-0.651821,1106,5.37945,3646,5.34755,0.0420341,5.359,5.396,5.268,10.0,3646,10.0,0.0,10.0,10.0,10.0
2016_07_26,0.036924,-0.498461,635,5.33442,4281,5.37176,0.0118645,5.377,5.385,5.334,10.0,4281,10.0,0.0,10.0,10.0,10.0
2016_07_27,0.025685,-0.21007,667,5.29608,4948,5.29017,0.0200501,5.294,5.337,5.256,10.0,4948,10.0,0.0,10.0,10.0,10.0
2016_07_28,0.025685,-0.181562,157,5.28639,5105,5.28934,0.00485391,5.29,5.297,5.281,10.0,5105,10.0,0.0,10.0,10.0,10.0
2016_07_29,0.025685,0.0515471,766,5.18003,5871,5.22033,0.0339418,5.21,5.287,5.175,10.0,5871,10.0,0.0,10.0,10.0,10.0
2016_07_30,0.0335092,-0.193107,398,5.11959,6269,5.14475,0.0175559,5.143,5.18,5.119,10.0,6269,10.0,0.0,10.0,10.0,10.0
2016_07_31,0.0915141,-0.308525,153,5.11231,6422,5.11654,0.00250533,5.117,5.121,5.111,10.0,6422,10.0,0.0,10.0,10.0,10.0
2016_08_01,0.0917527,-0.35923,430,5.12887,6852,5.11943,0.00683731,5.118,5.134,5.108,10.0,6852,10.0,0.0,10.0,10.0,10.0
2016_08_02,0.096939,-0.371332,303,5.1089,7155,5.11745,0.00656427,5.116,5.129,5.107,10.0,7155,10.0,0.0,10.0,10.0,10.0
2016_08_03,0.121917,-0.322973,63,5.11025,7218,5.10841,0.00110183,5.108,5.111,5.106,10.0,7218,10.0,0.0,10.0,10.0,10.0
2016_10_15,0.168489,-0.177172,606,5.1081,7824,5.11025,0.0075607,5.108,5.123,5.096,10.0,7824,10.0,0.0,10.0,10.0,10.0
2016_10_16,0.198622,-0.14846,221,5.10347,8045,5.10552,0.00362514,5.105,5.113,5.1,10.0,8045,10.0,0.0,10.0,10.0,10.0
2016_10_17,0.297932,-0.0892175,498,5.16337,8543,5.12899,0.0208344,5.128,5.165,5.099,10.0,8543,10.0,0.0,10.0,10.0,10.0
2016_10_18,0.29043,-0.128925,455,5.1554,8998,5.15761,0.00168821,5.157,5.163,5.154,10.0,8998,10.0,0.0,10.0,10.0,10.0
2016_10_19,0.228584,-0.144536,776,5.20347,9774,5.17352,0.0186807,5.177,5.201,5.146,10.0,9774,10.0,0.0,10.0,10.0,10.0
2016_10_20,0.19286,-0.1216,1107,5.23499,10881,5.21976,0.0111244,5.224,5.236,5.203,10.0,10881,10.0,0.0,10.0,10.0,10.0
2016_10_21,0.239735,-0.231125,353,5.24644,11234,5.24571,0.00391823,5.247,5.251,5.235,10.0,11234,10.0,0.0,10.0,10.0,10.0
2016_10_22,0.260425,-0.159979,505,5.23529,11739,5.23672,0.00418484,5.237,5.247,5.229,10.0,11739,10.0,0.0,10.0,10.0,10.0
2016_10_31,0.168769,-0.179831,622,5.22045,12369,5.22728,0.00547595,5.229,5.236,5.219,10.0,12369,10.0,0.0,10.0,10.0,10.0
2016_11_01,0.115238,-0.107011,876,5.18016,13245,5.19668,0.0120007,5.197,5.222,5.178,10.0,13245,10.0,0.0,10.0,10.0,10.0
2016_11_02,0.13509,-0.120967,634,5.14199,13879,5.16082,0.0112015,5.159,5.181,5.141,10.0,13879,10.0,0.0,10.0,10.0,10.0
2016_11_03,0.169011,-0.144053,532,5.13329,14411,5.13585,0.00288664,5.136,5.143,5.13,10.0,14411,10.0,0.0,10.0,10.0,10.0
2016_11_04,0.213813,-0.278228,29,5.13461,14440,5.1339,0.000939028,5.134,5.135,5.132,10.0,14440,10.0,0.0,10.0,10.0,10.0
