date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_15,-0.0639365,-0.129656,73,4.37892,111,4.03559,0.229192,4.041,4.452,3.675,10.0,111,10.0,0.0,10.0,10.0,10.0
2016_07_16,-0.096405,0.054713,74,4.69387,185,4.62509,0.110914,4.645,4.796,4.372,10.0,185,10.0,0.0,10.0,10.0,10.0
2016_07_17,-0.109384,0.021467,87,4.93423,272,4.76475,0.161754,4.731,5.014,4.496,10.0,272,10.0,0.0,10.0,10.0,10.0
2016_07_18,0.00626424,0.0544967,73,5.18692,345,5.06884,0.0814831,5.088,5.187,4.912,10.0,345,10.0,0.0,10.0,10.0,10.0
2016_07_19,-0.00755368,0.0451038,141,5.31949,486,5.28877,0.0534403,5.31,5.37,5.17,10.0,486,10.0,0.0,10.0,10.0,10.0
2016_07_20,0.000530089,-0.539182,170,5.47448,656,5.40169,0.0778934,5.4315,5.52,5.263,10.0,656,10.0,0.0,10.0,10.0,10.0
2016_07_22,0.0436634,-0.0448445,151,5.34227,874,5.42919,0.0468832,5.424,5.525,5.342,10.0,874,10.0,0.0,10.0,10.0,10.0
2016_07_23,0.0176123,-0.169182,227,5.49389,1101,5.44773,0.0586152,5.476,5.523,5.335,10.0,1101,10.0,0.0,10.0,10.0,10.0
2016_07_24,0.00538333,-0.502771,125,5.4787,1226,5.50948,0.0143839,5.509,5.536,5.479,10.0,1226,10.0,0.0,10.0,10.0,10.0
2016_07_25,-0.000706647,-0.400768,174,5.4721,1400,5.4759,0.00835074,5.478,5.491,5.455,10.0,1400,10.0,0.0,10.0,10.0,10.0
2016_07_26,0.00550507,-0.00899926,278,5.4042,1678,5.4168,0.0164065,5.414,5.471,5.394,10.0,1678,10.0,0.0,10.0,10.0,10.0
2016_07_27,0.00550507,-0.02843,304,5.18112,1982,5.27152,0.0712252,5.265,5.405,5.181,10.0,1982,10.0,0.0,10.0,10.0,10.0
2016_07_28,-0.016422,-0.0138433,72,5.16129,2054,5.16176,0.00784981,5.16,5.181,5.151,10.0,2054,10.0,0.0,10.0,10.0,10.0
2016_07_29,-0.0387857,0.279084,381,5.05341,2435,5.0772,0.0386992,5.068,5.162,5.018,10.0,2435,10.0,0.0,10.0,10.0,10.0
2016_07_30,-0.0955428,-0.0554236,117,5.04426,2552,5.04904,0.00583597,5.049,5.062,5.034,10.0,2552,10.0,0.0,10.0,10.0,10.0
2016_07_31,-0.127598,-0.0235596,33,5.05013,2585,5.05091,0.00393195,5.05,5.058,5.043,10.0,2585,10.0,0.0,10.0,10.0,10.0
2016_08_01,-0.118991,-0.163986,108,5.05028,2693,5.04432,0.0072044,5.045,5.057,5.029,10.0,2693,10.0,0.0,10.0,10.0,10.0
2016_08_02,0.0403236,-0.147724,121,5.11902,2814,5.08736,0.0278675,5.094,5.121,5.047,10.0,2814,10.0,0.0,10.0,10.0,10.0
2016_08_03,-0.154963,-0.147724,16,5.10805,2830,5.1125,0.00292119,5.112,5.119,5.108,10.0,2830,10.0,0.0,10.0,10.0,10.0
2016_10_15,-0.0971915,0.138769,75,5.11489,2905,5.10447,0.00610568,5.106,5.115,5.095,10.0,2905,10.0,0.0,10.0,10.0,10.0
2016_10_16,-0.212896,0.206504,21,5.10628,2926,5.10776,0.00354831,5.107,5.114,5.103,10.0,2926,10.0,0.0,10.0,10.0,10.0
2016_10_17,-0.0764016,0.294598,39,5.10961,2965,5.10926,0.00156807,5.109,5.113,5.107,10.0,2965,10.0,0.0,10.0,10.0,10.0
2016_10_18,0.17259,-0.0038706,83,5.12216,3048,5.11453,0.00563598,5.117,5.122,5.103,10.0,3048,10.0,0.0,10.0,10.0,10.0
2016_10_19,-0.0181548,-0.0227862,103,5.13708,3151,5.12748,0.00588425,5.129,5.137,5.114,10.0,3151,10.0,0.0,10.0,10.0,10.0
2016_10_20,0.0334185,0.0369052,182,5.13708,3333,5.14124,0.00481299,5.141,5.151,5.13,10.0,3333,10.0,0.0,10.0,10.0,10.0
2016_10_21,-0.0254447,0.261121,49,5.13731,3382,5.13535,0.00252117,5.136,5.139,5.13,10.0,3382,10.0,0.0,10.0,10.0,10.0
2016_10_22,-0.00914275,0.00705492,104,5.13674,3486,5.14696,0.00600796,5.147,5.159,5.136,10.0,3486,10.0,0.0,10.0,10.0,10.0
2016_10_31,-0.0251965,0.26424,61,5.14567,3547,5.1402,0.00340499,5.141,5.146,5.133,10.0,3547,10.0,0.0,10.0,10.0,10.0
2016_11_01,0.0218801,0.393639,196,5.14471,3743,5.14382,0.00345772,5.144,5.152,5.134,10.0,3743,10.0,0.0,10.0,10.0,10.0
2016_11_02,0.00216762,0.172488,163,5.12517,3906,5.13289,0.00404909,5.132,5.143,5.125,10.0,3906,10.0,0.0,10.0,10.0,10.0
2016_11_03,-0.0477731,0.144819,99,5.12737,4005,5.12982,0.00202718,5.13,5.134,5.124,10.0,4005,10.0,0.0,10.0,10.0,10.0
