date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_13,0.324524,-0.329938,238,5.38911,212,5.42063,1.13056,5.2055,9.0,1.5,10.0,238,10.0,0.0,10.0,10.0,10.0
2016_07_15,0.0615918,-0.394368,459,6.53943,671,6.20034,0.417551,6.428,6.589,5.322,10.0,697,10.0,0.0,10.0,10.0,10.0
2016_07_16,0.101657,-0.120983,211,6.30843,882,6.38369,0.0638388,6.35,6.528,6.305,10.0,908,10.0,0.0,10.0,10.0,10.0
2016_07_17,0.167003,-0.15136,303,6.38967,1185,6.40555,0.0394905,6.411,6.474,6.296,10.0,1211,10.0,0.0,10.0,10.0,10.0
2016_07_18,0.0984631,-0.163156,122,6.26845,1307,6.33312,0.0283119,6.337,6.39,6.268,10.0,1333,10.0,0.0,10.0,10.0,10.0
2016_07_19,0.0984631,-0.0697264,333,6.09947,1640,6.15511,0.0567787,6.139,6.269,6.089,10.0,1666,10.0,0.0,10.0,10.0,10.0
2016_07_20,0.0928604,-0.223433,203,6.0082,1843,6.05075,0.0258321,6.055,6.097,6.002,10.0,1869,10.0,0.0,10.0,10.0,10.0
2016_07_22,0.10361,-0.212227,216,5.98201,2121,6.01797,0.0157616,6.024,6.041,5.98,10.0,2147,10.0,0.0,10.0,10.0,10.0
2016_07_23,0.0716565,-0.348561,209,5.86787,2330,5.93438,0.0300459,5.946,5.982,5.862,10.0,2356,10.0,0.0,10.0,10.0,10.0
2016_07_24,0.0716565,-0.574625,364,5.75098,2694,5.81339,0.0326715,5.8155,5.871,5.747,10.0,2720,10.0,0.0,10.0,10.0,10.0
2016_07_25,0.0501817,-0.505106,929,5.57191,3623,5.63371,0.0580808,5.601,5.751,5.571,10.0,3649,10.0,0.0,10.0,10.0,10.0
2016_07_26,0.0326352,-0.183094,978,5.46115,4601,5.51647,0.0329262,5.515,5.579,5.461,10.0,4627,10.0,0.0,10.0,10.0,10.0
2016_07_27,0.0394377,-0.173348,1039,5.41375,5640,5.4058,0.0245444,5.397,5.461,5.375,10.0,5666,10.0,0.0,10.0,10.0,10.0
2016_07_28,0.014614,-0.0801935,468,5.405,6108,5.40924,0.00301041,5.409,5.415,5.403,10.0,6134,10.0,0.0,10.0,10.0,10.0
2016_07_29,0.014614,0.175305,2248,5.16798,8356,5.263,0.0853699,5.219,5.405,5.167,10.0,8382,10.0,0.0,10.0,10.0,10.0
2016_07_30,0.0429098,-0.140214,598,5.1512,8954,5.15344,0.0069996,5.152,5.171,5.141,10.0,8980,10.0,0.0,10.0,10.0,10.0
2016_07_31,0.082353,-0.191316,224,5.14872,9178,5.15455,0.00216925,5.155,5.159,5.148,10.0,9204,10.0,0.0,10.0,10.0,10.0
2016_08_01,0.0491505,-0.360838,565,5.13712,9743,5.14681,0.00431995,5.146,5.158,5.137,10.0,9769,10.0,0.0,10.0,10.0,10.0
2016_08_02,0.0663981,-0.321093,347,5.13292,10090,5.13278,0.00420704,5.132,5.142,5.126,10.0,10116,10.0,0.0,10.0,10.0,10.0
2016_08_03,0.0715892,-0.315726,68,5.1309,10158,5.13188,0.000922835,5.132,5.134,5.13,10.0,10184,10.0,0.0,10.0,10.0,10.0
2016_10_15,0.126359,-0.105587,424,5.15991,10582,5.14188,0.0104007,5.137,5.163,5.13,10.0,10608,10.0,0.0,10.0,10.0,10.0
2016_10_16,0.142715,-0.228681,150,5.15915,10732,5.16436,0.00288546,5.164,5.169,5.158,10.0,10758,10.0,0.0,10.0,10.0,10.0
2016_10_17,0.197155,-0.173596,571,5.1286,11303,5.1298,0.0118323,5.128,5.162,5.114,10.0,11329,10.0,0.0,10.0,10.0,10.0
2016_10_18,0.131045,-0.157837,432,5.13044,11735,5.13139,0.00253279,5.132,5.137,5.127,10.0,11761,10.0,0.0,10.0,10.0,10.0
2016_10_19,0.183625,-0.159827,587,5.15278,12322,5.14034,0.00817425,5.138,5.155,5.128,10.0,12348,10.0,0.0,10.0,10.0,10.0
2016_10_20,0.143768,-0.12787,867,5.17747,13189,5.1727,0.00759771,5.176,5.181,5.152,10.0,13215,10.0,0.0,10.0,10.0,10.0
2016_10_21,0.158719,-0.0920535,229,5.19393,13418,5.1885,0.00493788,5.19,5.195,5.178,10.0,13444,10.0,0.0,10.0,10.0,10.0
2016_10_22,0.148176,-0.165296,373,5.19902,13791,5.19986,0.00317501,5.2,5.205,5.194,10.0,13817,10.0,0.0,10.0,10.0,10.0
2016_10_31,0.0292889,-0.0462555,500,5.19774,14298,5.19597,0.00306165,5.196,5.202,5.19,10.0,14324,10.0,0.0,10.0,10.0,10.0
2016_11_01,0.0677667,0.0231211,602,5.19187,14900,5.19701,0.00418715,5.198,5.205,5.19,10.0,14926,10.0,0.0,10.0,10.0,10.0
2016_11_02,0.0842058,-0.1623,496,5.18426,15396,5.19025,0.00218904,5.19,5.195,5.184,10.0,15422,10.0,0.0,10.0,10.0,10.0
2016_11_03,0.106826,-0.134783,368,5.17105,15764,5.17613,0.00437161,5.176,5.184,5.17,10.0,15790,10.0,0.0,10.0,10.0,10.0
2016_11_04,0.0590629,0.0244653,22,5.16953,15786,5.17032,0.0005679,5.17,5.171,5.169,10.0,15812,10.0,0.0,10.0,10.0,10.0
