date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_13,0.575588,-0.152895,756,10.0,756,10.0,0.0,10.0,10.0,10.0,2.42094,694,2.98226,1.07495,2.6715,9.0,1.5
2016_07_15,0.100742,-0.120917,1222,10.0,1978,10.0,0.0,10.0,10.0,10.0,2.68571,1916,2.61134,0.160999,2.634,2.807,2.223
2016_07_16,0.147141,-0.117,1089,10.0,3067,10.0,0.0,10.0,10.0,10.0,2.58575,3005,2.64219,0.0301362,2.637,2.699,2.583
2016_07_17,0.317057,-0.122433,1058,10.0,4125,10.0,0.0,10.0,10.0,10.0,2.53441,4063,2.55803,0.0166507,2.56,2.594,2.528
2016_07_18,0.245164,-0.108558,1071,10.0,5196,10.0,0.0,10.0,10.0,10.0,2.66732,5134,2.58628,0.0387101,2.585,2.661,2.53
2016_07_19,0.155985,-0.0799478,2782,10.0,7978,10.0,0.0,10.0,10.0,10.0,2.71973,7916,2.69791,0.0126331,2.701,2.722,2.663
2016_07_20,0.12068,-0.164544,1651,10.0,9629,10.0,0.0,10.0,10.0,10.0,2.70027,9567,2.70732,0.00532184,2.709,2.721,2.693
2016_07_22,0.188988,-0.084953,1625,10.0,12016,10.0,0.0,10.0,10.0,10.0,2.69207,11954,2.7218,0.0177669,2.727,2.744,2.69
2016_07_23,0.117393,-0.40513,769,10.0,12785,10.0,0.0,10.0,10.0,10.0,2.66715,12723,2.68621,0.0116591,2.687,2.704,2.664
2016_07_24,0.117393,-0.515518,1409,10.0,14194,10.0,0.0,10.0,10.0,10.0,2.69739,14132,2.67719,0.0098605,2.675,2.698,2.663
2016_07_25,0.0720899,-0.532464,1718,10.0,15912,10.0,0.0,10.0,10.0,10.0,2.76507,15850,2.72644,0.0200563,2.728,2.766,2.694
2016_07_26,0.0720899,-0.376475,1156,10.0,17068,10.0,0.0,10.0,10.0,10.0,2.7817,17006,2.77576,0.00484395,2.776,2.784,2.765
2016_07_27,0.0272375,-0.218234,2091,10.0,19159,10.0,0.0,10.0,10.0,10.0,2.80055,19097,2.78578,0.00476949,2.785,2.796,2.777
2016_07_28,0.0272375,-0.187098,553,10.0,19712,10.0,0.0,10.0,10.0,10.0,2.81407,19650,2.8082,0.00354985,2.808,2.815,2.8
2016_07_29,0.0322928,-0.0444733,1443,10.0,21155,10.0,0.0,10.0,10.0,10.0,2.8313,21093,2.83282,0.00446311,2.834,2.838,2.814
2016_07_30,0.0482011,-0.183564,1470,10.0,22625,10.0,0.0,10.0,10.0,10.0,2.80997,22563,2.81954,0.00585826,2.818,2.832,2.81
2016_07_31,0.0585751,-0.199773,711,10.0,23336,10.0,0.0,10.0,10.0,10.0,2.78675,23274,2.79785,0.00638597,2.797,2.81,2.786
2016_08_01,0.152683,-0.443685,2082,10.0,25418,10.0,0.0,10.0,10.0,10.0,2.81926,25356,2.79556,0.0167757,2.791,2.822,2.772
2016_08_02,0.137893,-0.364886,1973,10.0,27391,10.0,0.0,10.0,10.0,10.0,2.80959,27329,2.81471,0.00411064,2.816,2.82,2.803
2016_08_03,0.109642,-0.322687,407,10.0,27798,10.0,0.0,10.0,10.0,10.0,2.80372,27736,2.80574,0.00244819,2.805,2.81,2.802
2016_10_15,0.205435,-0.158098,2393,10.0,30191,10.0,0.0,10.0,10.0,10.0,2.77484,30129,2.78167,0.00637016,2.78,2.804,2.774
2016_10_16,0.205435,-0.141509,812,10.0,31003,10.0,0.0,10.0,10.0,10.0,2.75979,30941,2.76784,0.00506333,2.769,2.775,2.76
2016_10_17,0.299753,-0.0967607,1821,10.0,32824,10.0,0.0,10.0,10.0,10.0,2.75763,32762,2.75443,0.00374066,2.754,2.761,2.747
2016_10_18,0.262658,-0.114142,1847,10.0,34671,10.0,0.0,10.0,10.0,10.0,2.72839,34609,2.74551,0.00672586,2.747,2.758,2.731
2016_10_19,0.230615,-0.156632,2637,10.0,37308,10.0,0.0,10.0,10.0,10.0,2.79786,37246,2.73489,0.00613131,2.731,2.749,2.728
2016_10_20,0.156648,-0.100626,3645,10.0,40953,10.0,0.0,10.0,10.0,10.0,2.85324,40891,2.84018,0.0206811,2.852,2.855,2.798
2016_10_21,0.254391,-0.22928,1063,10.0,42016,10.0,0.0,10.0,10.0,10.0,2.85876,41954,2.85744,0.00222727,2.859,2.86,2.853
2016_10_22,0.290839,-0.148913,2039,10.0,44055,10.0,0.0,10.0,10.0,10.0,2.84,43993,2.84634,0.00602388,2.846,2.859,2.837
2016_10_23,0.197607,-0.148913,39,10.0,44094,10.0,0.0,10.0,10.0,10.0,2.83895,44032,2.83946,0.000505035,2.839,2.84,2.839
2016_10_31,0.146818,-0.153288,1387,10.0,45481,10.0,0.0,10.0,10.0,10.0,2.85412,45419,2.84937,0.00430332,2.851,2.855,2.838
2016_11_01,0.135091,-0.0921946,2312,10.0,47793,10.0,0.0,10.0,10.0,10.0,2.85708,47731,2.85295,0.00333689,2.853,2.859,2.847
2016_11_02,0.140351,-0.159338,1819,10.0,49612,10.0,0.0,10.0,10.0,10.0,2.85322,49550,2.85296,0.00196841,2.853,2.857,2.849
2016_11_03,0.186447,-0.164403,1442,10.0,51054,10.0,0.0,10.0,10.0,10.0,2.85333,50992,2.85121,0.00180856,2.851,2.855,2.847
2016_11_04,0.173387,-0.2225,71,10.0,51125,10.0,0.0,10.0,10.0,10.0,2.85479,51063,2.85454,0.000556288,2.855,2.855,2.853
