date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_13,0.634188,-0.304717,495,10.0,495,10.0,0.0,10.0,10.0,10.0,3.93527,478,5.17503,1.06354,5.268,9.0,1.5
2016_07_15,0.495673,-0.275657,759,10.0,1254,10.0,0.0,10.0,10.0,10.0,4.08514,1237,3.88844,0.067974,3.875,4.085,3.74
2016_07_16,0.335941,-0.280086,293,10.0,1547,10.0,0.0,10.0,10.0,10.0,4.08256,1530,4.12189,0.0209175,4.125,4.157,4.077
2016_07_17,0.600099,-0.154289,299,10.0,1846,10.0,0.0,10.0,10.0,10.0,4.09086,1829,4.13068,0.0256568,4.13,4.176,4.068
2016_07_18,0.371988,-0.142026,384,10.0,2230,10.0,0.0,10.0,10.0,10.0,4.07626,2213,4.09951,0.0175033,4.0935,4.133,4.071
2016_07_19,0.3264,-0.136944,782,10.0,3012,10.0,0.0,10.0,10.0,10.0,3.75534,2995,3.89049,0.0932897,3.88,4.077,3.744
2016_07_20,0.284475,-0.194062,415,10.0,3427,10.0,0.0,10.0,10.0,10.0,3.63594,3410,3.68417,0.0421923,3.679,3.756,3.628
2016_07_22,0.349972,-0.175041,284,10.0,3949,10.0,0.0,10.0,10.0,10.0,3.56409,3932,3.55848,0.00949667,3.555,3.588,3.547
2016_07_23,0.397146,-0.382275,196,10.0,4145,10.0,0.0,10.0,10.0,10.0,3.64474,4128,3.5987,0.0281442,3.5965,3.648,3.563
2016_07_24,0.449273,-0.411092,281,10.0,4426,10.0,0.0,10.0,10.0,10.0,3.72015,4409,3.67162,0.0229904,3.663,3.721,3.64
2016_07_25,0.27783,-0.517352,395,10.0,4821,10.0,0.0,10.0,10.0,10.0,3.79069,4804,3.76173,0.0165801,3.76,3.797,3.72
2016_07_26,0.353782,-0.458371,247,10.0,5068,10.0,0.0,10.0,10.0,10.0,3.85507,5051,3.81237,0.0242008,3.814,3.855,3.782
2016_07_27,0.217651,-0.337906,351,10.0,5419,10.0,0.0,10.0,10.0,10.0,3.88122,5402,3.87671,0.00829498,3.877,3.894,3.856
2016_07_28,0.228129,-0.349119,106,10.0,5525,10.0,0.0,10.0,10.0,10.0,3.86712,5508,3.87669,0.00266677,3.877,3.882,3.867
2016_07_29,0.184797,-0.289698,255,10.0,5780,10.0,0.0,10.0,10.0,10.0,3.87236,5763,3.88304,0.00564938,3.883,3.894,3.868
2016_07_30,0.548075,-0.243524,415,10.0,6195,10.0,0.0,10.0,10.0,10.0,3.92634,6178,3.88573,0.0216913,3.876,3.93,3.859
2016_07_31,0.394073,-0.1764,170,10.0,6365,10.0,0.0,10.0,10.0,10.0,3.91378,6348,3.92285,0.00434007,3.923,3.93,3.914
2016_08_01,0.291116,-0.368511,314,10.0,6679,10.0,0.0,10.0,10.0,10.0,3.88955,6662,3.90031,0.00559992,3.9005,3.915,3.889
2016_08_02,0.321297,-0.453191,371,10.0,7050,10.0,0.0,10.0,10.0,10.0,3.8484,7033,3.87393,0.0157479,3.876,3.896,3.844
2016_08_03,0.333281,-0.302902,62,10.0,7112,10.0,0.0,10.0,10.0,10.0,3.84207,7095,3.84294,0.00294691,3.843,3.849,3.838
2016_10_15,0.375868,-0.231883,220,10.0,7332,10.0,0.0,10.0,10.0,10.0,3.84152,7315,3.84101,0.00151546,3.841,3.846,3.838
2016_10_16,0.421076,-0.237131,108,10.0,7440,10.0,0.0,10.0,10.0,10.0,3.84021,7423,3.84306,0.00191049,3.843,3.846,3.838
2016_10_17,0.375499,-0.162527,210,10.0,7650,10.0,0.0,10.0,10.0,10.0,3.8128,7633,3.82781,0.00782414,3.828,3.841,3.813
2016_10_18,0.430004,-0.154829,166,10.0,7816,10.0,0.0,10.0,10.0,10.0,3.80734,7799,3.80922,0.00244795,3.809,3.815,3.804
2016_10_19,0.336383,-0.218918,226,10.0,8042,10.0,0.0,10.0,10.0,10.0,3.78531,8025,3.79899,0.00671349,3.8,3.808,3.785
2016_10_20,0.256915,-0.197154,383,10.0,8425,10.0,0.0,10.0,10.0,10.0,3.72696,8408,3.7558,0.0149327,3.751,3.785,3.727
2016_10_21,0.51055,-0.0861545,161,10.0,8586,10.0,0.0,10.0,10.0,10.0,3.72432,8569,3.72234,0.00411872,3.723,3.73,3.715
2016_10_22,0.425223,-0.203941,217,10.0,8803,10.0,0.0,10.0,10.0,10.0,3.70027,8786,3.71249,0.00724001,3.713,3.726,3.7
2016_10_31,0.31632,-0.220205,218,10.0,9021,10.0,0.0,10.0,10.0,10.0,3.69185,9004,3.69888,0.00288621,3.7,3.704,3.691
2016_11_01,0.306784,-0.143847,285,10.0,9306,10.0,0.0,10.0,10.0,10.0,3.68931,9289,3.69643,0.00388209,3.697,3.703,3.689
2016_11_02,0.301126,-0.181574,330,10.0,9636,10.0,0.0,10.0,10.0,10.0,3.66884,9619,3.67812,0.00705814,3.675,3.692,3.668
2016_11_03,0.369583,-0.172051,218,10.0,9854,10.0,0.0,10.0,10.0,10.0,3.66313,9837,3.66422,0.00262816,3.664,3.67,3.66
