date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_16,0.213229,-0.153487,750,10.0,1845,10.0,0.0,10.0,10.0,10.0,2.60131,168,3.2929,1.47191,2.8325,9.0,1.5
2016_07_17,0.218571,-0.145948,212,10.0,2057,10.0,0.0,10.0,10.0,10.0,3.13597,380,2.94903,0.216248,3.082,3.158,2.511
2016_07_18,0.364747,-0.0679484,97,10.0,2154,10.0,0.0,10.0,10.0,10.0,3.36403,477,3.23348,0.0764582,3.225,3.364,3.119
2016_07_19,0.177003,-0.101863,193,10.0,2347,10.0,0.0,10.0,10.0,10.0,3.74015,670,3.53206,0.121649,3.494,3.745,3.347
2016_07_20,0.0715584,-0.179575,63,10.0,2410,10.0,0.0,10.0,10.0,10.0,3.77089,733,3.75492,0.0138171,3.751,3.779,3.73
2016_07_22,0.307071,-0.133404,86,10.0,2519,10.0,0.0,10.0,10.0,10.0,3.66078,842,3.67938,0.0278851,3.67,3.744,3.645
2016_07_23,0.127825,-0.392809,49,10.0,2568,10.0,0.0,10.0,10.0,10.0,3.75121,891,3.71239,0.03172,3.714,3.757,3.663
2016_07_24,0.0229164,-0.333035,55,10.0,2623,10.0,0.0,10.0,10.0,10.0,3.75204,946,3.73284,0.0100531,3.732,3.752,3.713
2016_07_25,0.0339761,-0.442997,68,10.0,2691,10.0,0.0,10.0,10.0,10.0,3.76471,1014,3.76024,0.00860773,3.7615,3.773,3.742
2016_07_26,0.239176,-0.326325,38,10.0,2729,10.0,0.0,10.0,10.0,10.0,3.76575,1052,3.75937,0.00523719,3.76,3.77,3.748
2016_07_27,0.109305,-0.204405,85,10.0,2814,10.0,0.0,10.0,10.0,10.0,3.84849,1137,3.79671,0.0292578,3.783,3.849,3.753
2016_07_29,0.138461,-0.245729,47,10.0,2869,10.0,0.0,10.0,10.0,10.0,3.90045,1192,3.88683,0.0180907,3.888,3.913,3.839
2016_07_30,-0.0706249,-0.113226,29,10.0,2898,10.0,0.0,10.0,10.0,10.0,3.88562,1221,3.89234,0.00572136,3.893,3.903,3.881
2016_08_01,0.119712,-0.181924,45,10.0,2949,10.0,0.0,10.0,10.0,10.0,3.8763,1272,3.87251,0.00777707,3.873,3.887,3.855
2016_08_02,0.211934,-0.299465,53,10.0,3002,10.0,0.0,10.0,10.0,10.0,3.87153,1325,3.87513,0.00445506,3.874,3.885,3.867
2016_08_03,0.25374,-0.390513,15,10.0,3017,10.0,0.0,10.0,10.0,10.0,3.84702,1340,3.85633,0.0102655,3.853,3.873,3.842
2016_10_15,0.170494,-0.311888,86,10.0,3103,10.0,0.0,10.0,10.0,10.0,3.95936,1426,3.89593,0.0394932,3.8915,3.959,3.837
2016_10_16,0.210585,-0.260991,42,10.0,3145,10.0,0.0,10.0,10.0,10.0,3.93482,1468,3.93514,0.0079344,3.9345,3.957,3.921
2016_10_17,0.285242,-0.212098,54,10.0,3199,10.0,0.0,10.0,10.0,10.0,3.95208,1522,3.94328,0.0116626,3.947,3.959,3.919
2016_10_18,0.264036,-0.278273,52,10.0,3251,10.0,0.0,10.0,10.0,10.0,4.00026,1574,3.97808,0.0129749,3.9795,4.0,3.953
2016_10_19,0.173079,-0.313348,53,10.0,3304,10.0,0.0,10.0,10.0,10.0,4.05774,1627,4.02838,0.0192286,4.032,4.058,3.997
2016_10_20,0.290791,-0.216906,41,10.0,3345,10.0,0.0,10.0,10.0,10.0,4.04702,1668,4.05317,0.0031137,4.053,4.059,4.047
2016_10_22,0.0943,-0.28468,54,10.0,3407,10.0,0.0,10.0,10.0,10.0,4.07385,1730,4.04798,0.0135319,4.0435,4.077,4.032
2016_10_31,0.134023,-0.263259,44,10.0,3451,10.0,0.0,10.0,10.0,10.0,4.1085,1774,4.0978,0.0127728,4.1025,4.113,4.071
2016_11_01,0.244959,-0.189817,53,10.0,3504,10.0,0.0,10.0,10.0,10.0,4.11366,1827,4.10613,0.00625127,4.107,4.116,4.094
2016_11_02,0.174173,-0.262921,81,10.0,3585,10.0,0.0,10.0,10.0,10.0,4.14675,1908,4.13332,0.0125018,4.13,4.16,4.114
2016_11_03,0.0736208,-0.2556,67,10.0,3652,10.0,0.0,10.0,10.0,10.0,4.1723,1975,4.1533,0.0127041,4.155,4.172,4.13
