date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_16,0.453037,-0.14475,103,10.0,253,10.0,0.0,10.0,10.0,10.0,2.47313,193,2.31834,0.101474,2.311,2.608,2.15
2016_07_17,0.615038,-0.0866682,37,10.0,290,10.0,0.0,10.0,10.0,10.0,2.57383,230,2.49073,0.0400116,2.494,2.574,2.395
2016_07_18,0.42815,-0.106526,66,10.0,356,10.0,0.0,10.0,10.0,10.0,2.83153,296,2.67311,0.0879064,2.655,2.845,2.535
2016_07_19,0.354216,-0.11391,81,10.0,437,10.0,0.0,10.0,10.0,10.0,3.03724,377,2.91716,0.0790244,2.901,3.048,2.79
2016_07_20,0.527075,-0.134749,47,10.0,484,10.0,0.0,10.0,10.0,10.0,3.22852,424,3.12585,0.0656926,3.122,3.229,3.022
2016_07_22,0.405201,-0.18316,76,10.0,590,10.0,0.0,10.0,10.0,10.0,3.25749,530,3.21105,0.0317729,3.2205,3.26,3.145
2016_07_23,0.405201,-0.371832,29,10.0,619,10.0,0.0,10.0,10.0,10.0,3.30907,559,3.27307,0.0281868,3.264,3.325,3.234
2016_07_24,0.431161,-0.412339,19,10.0,638,10.0,0.0,10.0,10.0,10.0,3.37734,578,3.34668,0.0233668,3.343,3.377,3.312
2016_07_25,0.34492,-0.469207,48,10.0,686,10.0,0.0,10.0,10.0,10.0,3.43083,626,3.41013,0.0129559,3.4085,3.434,3.387
2016_07_26,0.265632,-0.311443,26,10.0,712,10.0,0.0,10.0,10.0,10.0,3.4176,652,3.43669,0.00992278,3.438,3.453,3.416
2016_07_27,0.351242,-0.256207,55,10.0,767,10.0,0.0,10.0,10.0,10.0,3.45735,707,3.45371,0.0134366,3.457,3.475,3.411
2016_07_28,0.158784,-0.325942,17,10.0,784,10.0,0.0,10.0,10.0,10.0,3.4598,724,3.45488,0.00682717,3.455,3.469,3.443
2016_07_29,0.106718,-0.239586,20,10.0,804,10.0,0.0,10.0,10.0,10.0,3.44209,744,3.4525,0.00797034,3.454,3.467,3.44
2016_07_30,0.356004,-0.330994,29,10.0,833,10.0,0.0,10.0,10.0,10.0,3.43996,773,3.43345,0.0101896,3.433,3.453,3.411
2016_07_31,0.148016,-0.105982,11,10.0,844,10.0,0.0,10.0,10.0,10.0,3.41185,784,3.42209,0.0105495,3.42,3.442,3.41
2016_08_01,0.315056,-0.371767,57,10.0,901,10.0,0.0,10.0,10.0,10.0,3.38777,841,3.40949,0.0127267,3.411,3.432,3.379
2016_08_02,0.277787,-0.323493,28,10.0,929,10.0,0.0,10.0,10.0,10.0,3.39236,869,3.39371,0.010099,3.391,3.411,3.38
2016_08_03,0.324993,-0.348731,17,10.0,946,10.0,0.0,10.0,10.0,10.0,3.38409,886,3.38735,0.00501175,3.388,3.397,3.379
2016_10_15,0.547055,-0.210786,56,10.0,1002,10.0,0.0,10.0,10.0,10.0,3.41467,942,3.41521,0.0125143,3.415,3.44,3.39
2016_10_16,0.691211,-0.191214,17,10.0,1019,10.0,0.0,10.0,10.0,10.0,3.41314,959,3.41429,0.0051692,3.413,3.425,3.407
2016_10_17,0.452186,-0.161935,46,10.0,1065,10.0,0.0,10.0,10.0,10.0,3.38909,1005,3.4028,0.0135706,3.403,3.424,3.382
2016_10_18,0.414945,-0.149286,34,10.0,1099,10.0,0.0,10.0,10.0,10.0,3.43819,1039,3.42665,0.0211286,3.434,3.454,3.391
2016_10_19,0.396632,-0.201528,43,10.0,1142,10.0,0.0,10.0,10.0,10.0,3.42816,1082,3.43126,0.00753118,3.431,3.446,3.413
2016_10_20,0.385739,-0.263234,103,10.0,1245,10.0,0.0,10.0,10.0,10.0,3.47109,1185,3.46658,0.0226432,3.475,3.498,3.429
2016_10_21,0.275886,-0.312791,18,10.0,1263,10.0,0.0,10.0,10.0,10.0,3.48293,1203,3.48333,0.00638933,3.484,3.494,3.47
2016_10_22,0.537177,-0.229618,36,10.0,1299,10.0,0.0,10.0,10.0,10.0,3.45967,1239,3.47694,0.00843105,3.48,3.488,3.459
2016_10_31,0.404378,-0.156397,67,10.0,1368,10.0,0.0,10.0,10.0,10.0,3.47777,1308,3.47757,0.00877017,3.479,3.494,3.458
2016_11_01,0.358881,-0.221935,95,10.0,1463,10.0,0.0,10.0,10.0,10.0,3.52884,1403,3.49075,0.0136732,3.489,3.529,3.469
2016_11_02,0.426869,-0.27193,62,10.0,1525,10.0,0.0,10.0,10.0,10.0,3.58555,1465,3.55616,0.0179491,3.5595,3.587,3.524
2016_11_03,0.40631,-0.348731,42,10.0,1567,10.0,0.0,10.0,10.0,10.0,3.60018,1507,3.58969,0.00592839,3.5885,3.601,3.581
