date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_13,0.659201,-0.269143,240,10.0,240,10.0,0.0,10.0,10.0,10.0,4.87275,226,6.14552,1.16677,6.322,9.0,1.571
2016_07_15,0.519299,-0.293088,341,10.0,581,10.0,0.0,10.0,10.0,10.0,5.00847,567,4.81135,0.0772541,4.804,5.012,4.629
2016_07_16,0.389195,-0.284001,162,10.0,743,10.0,0.0,10.0,10.0,10.0,4.93014,729,4.98014,0.0463662,4.9925,5.062,4.892
2016_07_17,0.617839,-0.134755,203,10.0,946,10.0,0.0,10.0,10.0,10.0,5.07541,932,5.0493,0.041858,5.059,5.107,4.92
2016_07_18,0.499231,-0.129727,180,10.0,1126,10.0,0.0,10.0,10.0,10.0,4.95951,1112,5.00639,0.0448414,4.99,5.074,4.948
2016_07_19,0.411792,-0.129727,288,10.0,1414,10.0,0.0,10.0,10.0,10.0,4.67035,1400,4.82931,0.096125,4.8115,4.969,4.666
2016_07_20,0.601431,-0.185809,216,10.0,1630,10.0,0.0,10.0,10.0,10.0,4.69094,1616,4.63245,0.0515516,4.6265,4.72,4.559
2016_07_22,0.391867,-0.191483,356,10.0,2091,10.0,0.0,10.0,10.0,10.0,4.21591,2077,4.44308,0.129846,4.446,4.628,4.216
2016_07_23,0.355047,-0.426296,203,10.0,2294,10.0,0.0,10.0,10.0,10.0,4.18419,2280,4.20223,0.0118651,4.2,4.227,4.178
2016_07_24,0.269396,-0.515168,419,10.0,2713,10.0,0.0,10.0,10.0,10.0,4.06194,2699,4.09494,0.0500561,4.064,4.19,4.044
2016_07_25,0.194438,-0.547546,517,10.0,3230,10.0,0.0,10.0,10.0,10.0,4.0124,3216,4.03274,0.0283697,4.028,4.085,3.995
2016_07_26,0.252901,-0.419483,276,10.0,3506,10.0,0.0,10.0,10.0,10.0,3.98363,3492,3.99542,0.00952077,3.992,4.016,3.98
2016_07_27,0.202882,-0.304223,316,10.0,3822,10.0,0.0,10.0,10.0,10.0,4.00422,3808,3.98463,0.0100114,3.983,4.004,3.966
2016_07_28,0.123954,-0.298812,93,10.0,3915,10.0,0.0,10.0,10.0,10.0,4.00363,3901,4.00138,0.00422702,4.001,4.009,3.994
2016_07_29,0.210773,-0.294908,217,10.0,4132,10.0,0.0,10.0,10.0,10.0,4.03003,4118,4.03428,0.0120373,4.039,4.048,4.002
2016_07_30,0.235987,-0.328494,240,10.0,4372,10.0,0.0,10.0,10.0,10.0,4.03827,4358,4.0333,0.00728798,4.035,4.046,4.019
2016_07_31,0.351907,-0.302399,117,10.0,4489,10.0,0.0,10.0,10.0,10.0,4.02218,4475,4.03136,0.00527267,4.034,4.04,4.021
2016_08_01,0.327343,-0.330729,204,10.0,4693,10.0,0.0,10.0,10.0,10.0,4.0219,4679,4.0225,0.00174338,4.022,4.027,4.018
2016_08_02,0.333596,-0.347567,198,10.0,4891,10.0,0.0,10.0,10.0,10.0,4.03009,4877,4.02899,0.00527708,4.03,4.037,4.018
2016_08_03,0.388312,-0.347567,46,10.0,4937,10.0,0.0,10.0,10.0,10.0,4.02647,4923,4.02893,0.00163846,4.029,4.032,4.026
2016_10_15,0.349197,-0.253964,389,10.0,5326,10.0,0.0,10.0,10.0,10.0,4.05074,5312,4.02917,0.0144267,4.034,4.053,4.004
2016_10_16,0.387883,-0.240386,224,10.0,5550,10.0,0.0,10.0,10.0,10.0,3.99509,5536,4.02035,0.0165796,4.018,4.053,3.995
2016_10_17,0.404383,-0.172069,375,10.0,5925,10.0,0.0,10.0,10.0,10.0,3.97834,5911,3.99052,0.00502285,3.992,3.997,3.976
2016_10_18,0.369422,-0.178432,355,10.0,6280,10.0,0.0,10.0,10.0,10.0,3.94842,6266,3.96247,0.00803883,3.961,3.979,3.948
2016_10_19,0.286528,-0.199988,744,10.0,7024,10.0,0.0,10.0,10.0,10.0,3.99552,7010,3.97904,0.0208036,3.982,4.008,3.942
2016_10_20,0.302819,-0.194052,506,10.0,7530,10.0,0.0,10.0,10.0,10.0,3.94732,7516,3.9669,0.0130595,3.963,3.996,3.947
2016_10_21,0.465448,-0.131315,203,10.0,7733,10.0,0.0,10.0,10.0,10.0,3.94619,7719,3.94505,0.00206144,3.945,3.949,3.94
2016_10_22,0.374292,-0.198306,418,10.0,8151,10.0,0.0,10.0,10.0,10.0,3.95605,8137,3.94992,0.00480068,3.951,3.958,3.941
2016_10_31,0.270291,-0.201478,305,10.0,8457,10.0,0.0,10.0,10.0,10.0,3.96353,8443,3.96612,0.004547,3.967,3.973,3.955
2016_11_01,0.311993,-0.122977,488,10.0,8945,10.0,0.0,10.0,10.0,10.0,3.9252,8931,3.94667,0.00981721,3.949,3.965,3.925
2016_11_02,0.311993,-0.192295,436,10.0,9381,10.0,0.0,10.0,10.0,10.0,3.92096,9367,3.92112,0.00235209,3.922,3.925,3.916
2016_11_03,0.329272,-0.217375,337,10.0,9718,10.0,0.0,10.0,10.0,10.0,3.92688,9704,3.92528,0.00389698,3.926,3.931,3.918
2016_11_04,0.567158,-0.347888,14,10.0,9732,10.0,0.0,10.0,10.0,10.0,3.92445,9718,3.92507,0.000828742,3.925,3.926,3.924
